timestamps,open,high,low,close,volume,amount
2025-07-25 09:45:00,3604.45,3606.98,3599.45,3605.31,164787515,175321598976.0
2025-07-25 10:00:00,3605.42,3610.03,3602.11,3603.11,74777981,84707890432.0
2025-07-25 10:15:00,3603.28,3604.66,3594.85,3602.16,60627725,68250680464.0
2025-07-25 10:30:00,3602.3,3602.67,3594.81,3597.88,37658529,46379071200.0
2025-07-25 10:45:00,3597.71,3601.91,3596.67,3597.48,31175406,36549521104.0
2025-07-25 11:00:00,3597.76,3598.14,3589.78,3591.32,34377796,36428016560.0
2025-07-25 11:15:00,3591.41,3594.42,3588.73,3593.99,25646987,29599831344.0
2025-07-25 11:30:00,3594.2,3594.44,3591.63,3593.38,19291550,22769010224.0
2025-07-25 13:15:00,3593.27,3596.69,3591.78,3594.73,29846509,35912898064.0
2025-07-25 13:30:00,3594.6,3597.65,3594.18,3597.34,24717627,30830351568.0
2025-07-25 13:45:00,3597.14,3597.24,3592.56,3592.96,26222052,32697508704.0
2025-07-25 14:00:00,3593.31,3597.03,3592.42,3597.03,25238007,31278361840.0
2025-07-25 14:15:00,3597.33,3599.43,3593.79,3594.98,29029878,40443439824.0
2025-07-25 14:30:00,3594.75,3595.22,3586.22,3591.12,35190061,44433896928.0
2025-07-25 14:45:00,3591.32,3595.91,3591.32,3591.32,31911552,46238745424.0
2025-07-25 15:00:00,3591.78,3595.05,3591.58,3593.66,46690373,59768754048.0
2025-07-28 09:45:00,3594.23,3595.15,3582.15,3590.56,137732256,167407980288.0
2025-07-28 10:00:00,3590.28,3601.41,3589.17,3600.06,61339544,79682320352.0
2025-07-28 10:15:00,3600.47,3606.27,3597.62,3604.27,46117023,58485751088.0
2025-07-28 10:30:00,3604.37,3605.65,3599.96,3604.6,38093704,50796964400.0
2025-07-28 10:45:00,3604.62,3605.71,3601.06,3602.69,29296458,39033598576.0
2025-07-28 11:00:00,3602.52,3604.47,3600.6,3603.36,25320470,32418803456.0
2025-07-28 11:15:00,3602.9,3603.95,3601.14,3602.97,20718246,27537974080.0
2025-07-28 11:30:00,3602.47,3603.67,3587.19,3587.69,30966677,38468505552.0
2025-07-28 13:15:00,3587.67,3596.15,3587.53,3595.15,28922982,38564963584.0
2025-07-28 13:30:00,3595.89,3597.95,3595.29,3597.05,23600330,30396191312.0
2025-07-28 13:45:00,3596.98,3598.94,3596.18,3596.18,21133911,29249110896.0
2025-07-28 14:00:00,3596.29,3597.22,3590.83,3597.22,22630395,28704378576.0
2025-07-28 14:15:00,3597.23,3598.89,3593.18,3594.58,21255498,27936910976.0
2025-07-28 14:30:00,3594.91,3595.41,3591.82,3595.41,20551354,27262294400.0
2025-07-28 14:45:00,3595.26,3598.57,3595.21,3598.37,24011443,32249929120.0
2025-07-28 15:00:00,3598.45,3601.56,3597.49,3597.94,42497583,53069762640.0
2025-07-29 09:45:00,3595.81,3605.54,3594.95,3595.87,114659637,146790377472.0
2025-07-29 10:00:00,3595.7,3596.66,3587.46,3587.79,69988729,86665579264.0
2025-07-29 10:15:00,3587.4,3598.21,3585.94,3598.21,46563319,66007737472.0
2025-07-29 10:30:00,3598.4,3598.84,3592.1,3593.85,36801289,49606395968.0
2025-07-29 10:45:00,3593.81,3594.83,3590.39,3593.4,34886534,46105688592.0
2025-07-29 11:00:00,3593.84,3598.72,3591.73,3597.85,25435831,35350021072.0
2025-07-29 11:15:00,3597.6,3597.85,3594.86,3596.18,26640614,33211659184.0
2025-07-29 11:30:00,3596.42,3600.2,3593.79,3595.19,20826765,28300893216.0
2025-07-29 13:15:00,3595.86,3601.56,3594.62,3596.79,28097323,37887882464.0
2025-07-29 13:30:00,3596.11,3597.91,3594.77,3596.33,21704269,29821795472.0
2025-07-29 13:45:00,3596.37,3599.3,3594.21,3597.26,21701646,30387681216.0
2025-07-29 14:00:00,3597.44,3601.73,3597.3,3600.92,30740101,38001581744.0
2025-07-29 14:15:00,3601.27,3607.14,3600.37,3602.23,32640223,38431872752.0
2025-07-29 14:30:00,3602.25,3608.94,3602.25,3606.87,24781810,32228966496.0
2025-07-29 14:45:00,3607.5,3608.99,3605.7,3607.77,30030475,37731613376.0
2025-07-29 15:00:00,3607.62,3611.35,3606.95,3609.71,45143491,57076679251.0
2025-07-30 09:45:00,3608.35,3617.84,3601.59,3616.41,128746063,162141651968.0
2025-07-30 10:00:00,3615.87,3624.16,3615.15,3623.66,63221091,83555148448.0
2025-07-30 10:15:00,3623.66,3629.86,3623.31,3623.9,50835110,63867891568.0
2025-07-30 10:30:00,3623.65,3626.41,3621.07,3624.92,41788411,51212298496.0
2025-07-30 10:45:00,3625.31,3633.16,3625.31,3633.16,32057684,38302027424.0
